island_id,census_year,total_maldivian_pop,male_maldivian_pop,female_maldivian_pop
1,2014,584,292,292
2,2014,413,217,196
3,2014,666,342,324
4,2014,408,216,192
5,2014,623,308,315
6,2014,943,478,465
7,2014,1347,669,678
8,2014,921,469,452
9,2014,707,348,359
10,2014,137,61,76
11,2014,522,245,277
12,2014,726,356,370
13,2014,480,240,240
14,2014,437,209,228
15,2014,2077,1029,1048
16,2014,1925,988,937
17,2014,294,156,138
18,2014,840,413,427
19,2014,739,380,359
20,2014,359,168,191
21,2014,2530,1198,1332
22,2014,99,48,51
23,2014,174,90,84
24,2014,501,237,264
25,2014,669,293,376
26,2014,353,197,156
27,2014,829,424,405
28,2014,345,156,189
29,2014,410,197,213
30,2014,458,199,259
31,2014,1412,693,719
32,2014,714,392,322
33,2014,681,328,353
34,2014,2213,1017,1196
35,2014,591,262,329
36,2014,856,466,390
37,2014,250,125,125
38,2014,868,422,446
39,2014,383,194,189
40,2014,808,370,438
41,2014,512,257,255
42,2014,1548,726,822
43,2014,1009,512,497
44,2014,504,267,237
45,2014,1147,572,575
46,2014,503,238,265
47,2014,871,486,385
48,2014,258,137,121
49,2014,1053,544,509
50,2014,500,265,235
51,2014,2489,1314,1175
52,2014,1024,527,497
53,2014,689,348,341
54,2014,1387,717,670
55,2014,800,404,396
56,2014,1145,559,586
57,2014,738,375,363
58,2014,514,273,241
59,2014,4629,2319,2310
60,2014,661,335,326
61,2014,7984,3612,4372
62,2014,1173,554,619
63,2014,2613,1106,1507
64,2014,562,260,302
65,2014,1726,814,912
66,2014,2461,1181,1280
67,2014,1037,454,583
68,2014,647,307,340
69,2014,220,102,118
70,2014,443,189,254
71,2014,336,144,192
72,2014,393,181,212
73,2014,367,170,197
74,2014,538,218,320
75,2014,423,196,227
76,2014,388,174,214
77,2014,1616,790,826
78,2014,314,147,167
79,2014,8186,3764,4422
80,2014,858,374,484
81,2014,444,211,233
82,2014,1213,563,650
83,2014,397,176,221
84,2014,827,358,469
85,2014,706,298,408
86,2014,1830,811,1019
87,2014,990,427,563
88,2014,746,356,390
89,2014,966,467,499
90,2014,1010,519,491
91,2014,831,447,384
92,2014,1569,862,707
93,2014,1328,861,467
94,2014,1014,495,519
95,2014,1715,821,894
96,2014,2606,1753,853
97,2014,1127,552,575
98,2014,622,327,295
99,2014,2078,1027,1051
100,2014,2793,1394,1399
101,2014,989,507,482
102,2014,907,424,483
103,2014,552,269,283
104,2014,628,307,321
105,2014,607,311,296
106,2014,824,406,418
107,2014,1399,686,713
108,2014,222,118,104
109,2014,2422,1037,1385
110,2014,1177,563,614
111,2014,3806,1850,1956
112,2014,500,213,287
113,2014,944,427,517
114,2014,702,331,371
115,2014,350,189,161
116,2014,1194,589,605
117,2014,775,382,393
118,2014,406,198,208
119,2014,111,55,56
120,2014,223,122,101
121,2014,0,0,0
122,2014,0,0,0
123,2014,0,0,0
124,2014,215,100,115
125,2014,475,181,294
126,2014,1508,651,857
127,2014,1285,561,724
128,2014,414,195,219
129,2014,652,284,368
130,2014,571,275,296
131,2014,697,319,378
132,2014,633,305,328
133,2014,252,123,129
134,2014,1295,618,677
135,2014,799,338,461
136,2014,1687,832,855
137,2014,1571,726,845
138,2014,373,180,193
139,2014,2920,1372,1548
140,2014,304,149,155
141,2014,1079,493,586
142,2014,1123,508,615
143,2014,504,257,247
144,2014,432,206,226
145,2014,765,372,393
146,2014,1390,696,694
147,2014,1664,805,859
148,2014,484,221,263
149,2014,494,248,246
150,2014,1384,659,725
151,2014,375,177,198
152,2014,3099,1492,1607
153,2014,10114,4792,5322
154,2014,1104,537,567
155,2014,2133,1053,1080
156,2014,1153,521,632
157,2014,1716,800,916
158,2014,465,223,242
159,2014,613,270,343
160,2014,721,323,398
161,2014,1319,606,713
162,2014,2015,937,1078
163,2014,496,228,268
164,2014,1057,449,608
165,2014,1054,501,553
166,2014,562,269,293
167,2014,774,351,423
168,2014,425,186,239
169,2014,1782,784,998
170,2014,471,217,254
171,2014,337,153,184
172,2014,312,145,167
173,2014,511,231,280
174,2014,239,116,123
175,2014,1211,616,595
176,2014,952,498,454
177,2014,370,185,185
178,2014,747,352,395
179,2014,741,342,399
180,2014,415,217,198
181,2014,1101,551,550
182,2014,275,142,133
183,2014,1051,524,527
184,2014,976,463,513
185,2014,473,249,224
186,2014,323,182,141
187,2014,635,334,301
188,2014,101,66,35
189,2014,69,47,22
