school_name,island_id,atoll_id,original_location
HA Atholhu Madharusa 12,65,9,Haa Alif Hoarafushi
HA Atholhu Thauleemee Markaz 12 Madhrasathul Sulthan Mohamed,63,9,Haa Alif Dhidhdhoo
Thakurufaanul Auzam 10,74,9,Haa Alif Utheem
Baarashu School 10,62,9,Haa Alif Baarah
Ihavandhoo School,66,9,Haa Alif Ihavandhoo
Maarandhoo School 12,68,9,Haa Alif Maarandhoo
Madharusathul Sobah 10,64,9,Haa Alif Filladhoo
Madhrasathul Shaheed Ali Thakurufaan 10,71,9,Haa Alif Thakandoo
Madhrasathul Sheikh Ibrahim 10,67,9,Haa Alif Kelaa
Mulhadhoo School 10,69,9,Haa Alif Mulhadhoo
Muraidhoo School 10,70,9,Haa Alif Muraidhoo
Thuraakunu School 10,72,9,Haa Alif Thuraakunu
Uligamu School 10,73,9,Haa Alif Uligamu
Vashafaru School 10,75,9,Haa Alif Vashafaru
HDH Atholhu Madharusa,88,10,Haa Dhaalu Vaikaradhoo
HdH. Atoll Education Centre Preschool–Grade 10,79,10,Haa Dhaalu Kulhudhuffushi
Jalaluddin School,79,10,Haa Dhaalu Kulhudhuffushi
Afeefudheen School,79,10,Haa Dhaalu Kulhudhuffushi
Finey School,76,10,Haa Dhaalu Finey
Hanimaadhoo School,77,10,Haa Dhaalu Hanimaadhoo
Hirimaradhoo School,78,10,Haa Dhaalu Hirimaradhoo
Kumundhoo School,80,10,Haa Dhaalu Kumundhoo
Kurin'bee School,81,10,Haa Dhaalu Kurin'bee
Madharusathul Hussainiyya,105,12,Haa Dhaalu Maavaidhoo
Makunudhoo School,82,10,Haa Dhaalu Makunudhoo
Naivaadhoo School,83,10,Haa Dhaalu Naivaadhoo
Nellaidhoo School,84,10,Haa Dhaalu Nellaidhoo
Neykarandhoo School,85,10,Haa Dhaalu Neykurandhoo
Nolhivaram School,86,10,Haa Dhaalu Nolhivaram
Nolhivaranfaru School,87,10,Haa Dhaalu Nolhivaranfaru
Kunburudhoo School,14,2,Haa Dhaalu Kunburudhoo
Ameer Ameen School,79,10,Haa Dhaalu Kulhudhuffushi
"Sh. Atoll Education Centre LKG,",165,19,Shaviyani Komandoo
"Funadhoo School LKG,",162,19,Shaviyani Funadhoo
"Milandhoo School LKG,",169,19,Shaviyani Milandhoo
"Bileiyfahi School LKG,",158,19,Shaviyani Bileffahi
"Feevaku School LKG,",159,19,Shaviyani Feevah
"Feydhoo School LKG,",160,19,Shaviyani Feydhoo
"Foakaidhoo School LKG,",161,19,Shaviyani Foakaidhoo
"Sh. Goidhoo School LKG,",163,19,Shaviyani Goidhoo
"Lhaimagu School LKG,",166,19,Shaviyani Lhaimagu
"Maaungoodhoo School LKG,",167,19,Shaviyani Maaungoodhoo
"Narudhoo School LKG,",170,19,Shaviyani Narudhoo
"Noomaraa School LKG,",171,19,Shaviyani Noomaraa
Noonu Atoll Education Centre,136,16,Noonu Velidhoo
HINZ Pre-school Playschool to Nursery,136,16,Noonu Velidhoo
Noonu Atoll School,134,16,Noonu Manadhoo
Meynaa School,126,16,Noonu Holhudhoo
Kendhikulhudhoo School,127,16,Noonu Kendhi'kulhudhoo
Fohdhoo School,124,16,Noonu Fohdhoo
Hen'badhoo School,125,16,Noonu Henbadhoo
Kudafaree School,128,16,Noonu Kudafari
Landhoo School,129,16,Noonu Landhoo
Lhohee School,130,16,Noonu Lhohi
Maafaru School,131,16,Noonu Maafaru
Maalhendhoo School,132,16,Noonu Maalhendhoo
Magoodhoo School,133,16,Noonu Magoodhoo
Hidhaya School,135,16,Noonu Miladhoo
Alifushi School,137,17,Raa Alifushi
Vaadhoo School,151,17,Raa Vaadhoo
Rasgetheemu School,148,17,Raa Rasgetheemu
Angolhitheemu School,138,17,Raa Angolhitheemu
Hulhudhuffaaru School,141,17,Raa Hulhudhuffaaru
Ungoofaaru School,150,17,Raa Un'goofaaru
Raa Atoll Education Center,157,18,Raa Meedhoo
Raa Atoll School,139,17,Raa Dhuvaafaru
"Dhuvaafaru Primary School UKG,LKG & 1–6",139,17,Raa Dhuvaafaru
Maakurathu School,145,17,Raa Maakurathu
Fainu School,140,17,Raa Fainu
Kinolhahu School,144,17,Raa Kinolhas
Inguraidhoo School,142,17,Raa Inguraidhoo
Innamaadhoo School,143,17,Raa Innamaadhoo
Rasmaadhoo School,149,17,Raa Rasmaadhoo
Maduvvaree School,146,17,Raa Maduvvaree
M.E.C Nursery Class,146,17,Raa Maduvvaree
Meedhoo Pre-School,157,18,Raa Meedhoo
Alifushee Pre-School,137,17,Raa Alifushi
Saif Pre-School,150,17,Raa Un'goofaaru
Koimalaa Pre-School,148,17,Raa Rasgetheemu
Kinolhas Pr-School,144,17,Raa Kinolhas
Inguraidhoo Pre-School,142,17,Raa Inguraidhoo
Huzooru Pr-School,141,17,Raa Hulhudhuffaaru
Iyaar Pre-School,143,17,Raa Innamaadhoo
Maakurathu Pre-School,145,17,Raa Maakurathu
Vaadhoo Pre-School,151,17,Raa Vaadhoo
Tiny Star Pre-school,139,17,Raa Dhuvaafaru
Baa Atoll Education Centre,21,3,Baa Eydhafushi
"Kudarikilu School LKG,",29,3,Baa Kudarikilu
Kendhoo School,27,3,Baa Kendhoo
Kamadhoo School,26,3,Baa Kamadhoo
Kihaadhoo School,28,3,Baa Kihaadhoo
Dhonfanu School,20,3,Baa Dhonfanu
"Baa Atoll School LKG,",19,3,Baa Dharavandhoo
"Maalolhu School LKG,",30,3,Baa Maalhos
"Hithadhoo School LKG,",153,18,Baa Hithadhoo
Thulhaadhoo School,31,3,Baa Thulhaadhoo
Goidhoo School,163,19,Baa Goidhoo
Fehendhoo School,22,3,Baa Fehendhoo
Fulhadhoo School,23,3,Baa Fulhadhoo
Lh.Atoll education Centre,109,13,Baa Hinnavaru
Madhrasathul Ifthithaah,111,13,Baa Naifaru
Lh.Atoll School,110,13,Baa Kurendhoo
Habashee Pre-School,110,13,Baa Kurendhoo
Lh. Olhuvelifushi School,112,13,Baa Olhuvelifushi
Faafu Atholhu Madharusa,40,5,Faafu Feeali
Magoodhoo School,133,16,Faafu Magoodhoo
Dharanboodhoo School,39,5,Faafu Dharanboodhoo
Bilehdhoo School,38,5,Faafu Bilehdhoo
GN. Atoll Education Centre,61,8,Gnaviyani Fuvahmulah
Mohamed Jamaluddin School,61,8,Gnaviyani Fuvahmulah
"Hafiz Ahmed School LKG,",61,8,Gnaviyani Fuvahmulah
"Fuvamulaku School LKG,",61,8,Gnaviyani Fuvahmulah
Ideal School,61,8,Gnaviyani Fuvahmulah
"Zikura School LKG,",61,8,Gnaviyani Fuvahmulah
Brightway International School,61,8,Gnaviyani Fuvahmulah
Huvadhoo School,52,7,"Gaafu Dhaalu Education Centre (Thinadhoo, Gaafu Dhaalu) FaresMathoda"
Sharafuddin School,153,18,Seenu School (Hulhumeedhoo) Hithadhoo
Irshadiyya School,155,18,Seenu School (Hulhumeedhoo) Maradhoo
Feydhoo School,160,19,Seenu School (Hulhumeedhoo) Feydhoo
Nooraanee School,153,18,Seenu School (Hulhumeedhoo) Hithadhoo
Addu High School,153,18,Seenu School (Hulhumeedhoo) Hithadhoo
Maradhoo school,155,18,Seenu School (Hulhumeedhoo) Maradhoo
Shareepee Pre school,154,18,Seenu School (Hulhumeedhoo) Hulhumeedhoo
Makthabul Asriyya,154,18,Seenu School (Hulhumeedhoo) Hulhumeedhoo
Maradoofeydhoo School,156,18,Addu Education Center (Hithadhoo) Maradhoofeydhooo
Hithadhoo School,153,18,Addu Education Center (Hithadhoo) Hithadhoo
Kudhimaa Pre School,160,19,Addu Education Center (Hithadhoo) Feydhoo
Aman pre-school,155,18,Addu Education Center (Hithadhoo) Maradhoo
Ujala pre-school,156,18,Addu Education Center (Hithadhoo) Maradhoofeydhooo
Medhevalu School,153,18,Addu Education Center (Hithadhoo) Hithadhoo
Hiraa School,153,18,Addu Education Center (Hithadhoo) Hithadhoo
